Table 1
Trait,Definition,Scale,Behaviour Description,
Mastery,Refers to the person level of understanding and mastery of the skills necessary for the position. ,Beginner,"Basic Knowledge

• Has incomplete understanding on the matter",
,,Advanced Beginner,"Limited Experience

• Understands terminology, concepts, principles and issues",
,,Competent,"Practical Application

• Understands and discusses application and implication of changes to processes, policies and procedures
• Knows patterns and best practices superficially",
,,Proficient,"Applied Theory

• Provides practical ideas and perspectives on processes or improvements
• Translates complex nuances into easy to understand terms
• Understand and apply common patterns and best practices",
,,Expert,"Recognized Authority

• Consistently apply knowledge with excellence, coherence and solid arguments
• Understand, create and apply advanced patterns and best practices",
Impact,Refers to the effect that the person has on their environment considering their strength and reach. ,Self,"Lone Worker

• Only infers on own decisions",
,,Project,"Single Team Contribuitor

• Contributes to project decisions using full reference and resource materials",
,,Pod / Projects,"Multiple Team Contributor & Influencer

• Contributes and advices multiple teams for a given client",
,,Area,"Leader

• Recognized ""person to ask"" on a given topic in its area
• Provides advice to multiple projects for different clients
• Adapts style and approaches others to maximize impact",
,,Company & Beyond,"General Leader

• Dictates where technology will go inside and/or outside the organization
• Give consultancy to clients, areas, and teams inside or outside the organization",
Growth & Recognition,Refers to the attitude and actions carried out towards their own development and that for the community that the person shows,Learning,"Proactive Learner.

• Approaches tasks mechanistically without deep research
• Uncapable of provide guide to others
• Self-centered",
,,Apply Knowledge,"Active Worker

• Expected to need help on its tasks
• Actively research to increase understanding
• Capable of provide point of view to current team
• Recognizes those who helped it directly",
,,Enhance Knowledge,"Mentor

• Assist on reference and resource material creation
• Constantly expand it's knowledge with courses, books, or any other material
• Capable of mentoring others with his own experience
• Recognizes inmediate collaborators publicly",
,,"Share Knowledge 
& Experience","Coach

• Go to person inside the organization
• Assists on reference and resource material creation
• Capable of coaching others with experience and professional training
• Recognizes foreign teams and persons publicly",
,,Promotes Development,"Expert Consultant

• Go to person inside and outside the organization
• Create or Lead reference and resource material creation
• Gives consultancy to clients, groups, or other organizations
• Recognizes efforts and achievements of different groups publicly",
Performance,Refers to the effective fulfillment of the key objectives of the person's role. ,Below,"Rarely meets any goal

• Needs supervision to complete tasks
• They should be put on a performance improvement plan or leave soon.",
,,Beneath,"Meets some perfomance goals

• Requires minimal guide to perform successfully
• This employee is not performing below expectations, but also not living up to their potential",
,,Standard,"Constantly meets ALL goals

• Performs without assistance 
• This employee is a great performer who’s growing and contributing. There are no material job gaps.",
,,Exceeds,"Meets ALL goals and may exceeds some

• Performs successfully and helps others to improve their performance
• This employee is special and their contribution is significant for their role. ",
,,Elite,"Meets and Far Exceeds all goals in quantity, quality and time

• Outperforms successfully, guide others to improve performance, and proactively offers betterment of processes 
• They are absolutely remarkable in all ways",
,,,,
,,,,
,References:,Skills - Levels Descriptions - Google Sheets,,
,,Handbook ML - Google Docs,,
,,MagmaLabs: Engineering Ladder 2021 - Google Docs,,
