Table 1
Candidate:,Michael Specter,,,,,,,
Criteria,Ismael,Mumo,Vic,William,Average,,Observations,
Application,1,1,0,,,,Carlos: Yo creo que es buena onda,
Resume,,,2,,2.00,,Ismael: como que le truena la reversa,
Preparation,,,,,,,,
Experience Relevance,,,,,,,,
Work style,,,,,,,,
Reliability,,,,,,,,
Goes Above Duty,,,,,,,,
Thoughtful Communicator,,,,,,,,
Bias towards results,,,,,,,,
Grit,,,,,,,3,
Stress Handling,,,,,,,4,
Intellectual Curiosity,4,,,,4.00,,6,
Scalable Process Builder,,,,,,,,
Personal Drive,,,,,,,,
Self Motivation,2,5,8,6,5.25,,,
Personal Growth,,,,,,,,
Coachability,,,,,,,,
Cultural Fit,,,,,,,,
Airport Test,,,,,,,,
Energy,,,,,,,,
Alignment,,,,,,,,
Humility,5,8,3,8,6.00,,,
Role Specific,,8,,8,,,,
Ruby,6,1,8,8,5.75,,,
Guapo,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Average,4.3,5.5,5.3,7.5,5.63,,,
