Table 1
Hiring Journey,,,,
Step,Activity,Done,,
Job Requisition,Document Created,FALSE,,
,Specific Skills Defined,FALSE,,
,Topgrading Document Created,FALSE,,
CV Review,Relevance Analysis Done,FALSE,,
,Findings and Recommendations Shared ,FALSE,,
First Contact,Call Scheduled,FALSE,,
,Notes and Recommendations Shared,FALSE,,
Interview 3x1,Interviewers Assigned and Notified,FALSE,,
,Call Scheduled,FALSE,,
,Topgrading Document Shared,FALSE,,
,Topgrading Document Filled,FALSE,,
,Opportunity Areas and Feedback Shared (every interviewer),FALSE,,
Technical Test (opt),Technical Test Sent to Candidate,FALSE,,
,Techncal Test Received,FALSE,,
,Technical Test Reviewed,FALSE,,
,Conclusions Shared,FALSE,,
Decision,Information Analyzed,FALSE,,
,Desición Taken,FALSE,,
,Candidate Notified,FALSE,,
